
---------- Begin Simulation Statistics ----------
simSeconds                                   1.036272                       # Number of seconds simulated (Second)
simTicks                                 1036272467000                       # Number of ticks simulated (Tick)
finalTick                                1036272467000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  85339.76                       # Real time elapsed on the host (Second)
hostTickRate                                 12142904                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   20220812                       # Number of bytes of host memory used (Byte)
simInsts                                   3033071628                       # Number of instructions simulated (Count)
simOps                                     3033071635                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    35541                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      35541                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1036272469                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.341658                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.926906                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3824085664                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  3800651                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3566562627                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               20965482                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            794814679                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         431232065                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 122                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1036193414                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.441985                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.655359                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 268701750     25.93%     25.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  55715055      5.38%     31.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  65209012      6.29%     37.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  99185810      9.57%     47.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 146824716     14.17%     61.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 132154949     12.75%     74.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 114216343     11.02%     85.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  83985781      8.11%     93.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  70199998      6.77%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1036193414                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                24757000      9.93%      9.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      9.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       1      0.00%      9.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      9.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      9.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      9.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      9.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      9.93% # attempts to use FU when none available (Count)
