
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009697                       # Number of seconds simulated (Second)
simTicks                                   9696508000                       # Number of ticks simulated (Tick)
finalTick                                  9696508000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    508.22                       # Real time elapsed on the host (Second)
hostTickRate                                 19079270                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17051420                       # Number of bytes of host memory used (Byte)
simInsts                                     16948263                       # Number of instructions simulated (Count)
simOps                                       16949304                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    33348                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      33350                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          9696510                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.572124                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.747872                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        23087692                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     5366                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       21095454                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 137675                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6143753                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3626018                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2224                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9172971                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.299741                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.486113                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3654092     39.84%     39.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    979273     10.68%     50.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    811328      8.84%     59.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    830690      9.06%     68.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    842149      9.18%     77.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    733352      7.99%     85.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    623188      6.79%     92.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    364221      3.97%     96.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    334678      3.65%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9172971                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  128813     14.13%     14.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2130      0.23%     14.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      30      0.00%     14.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     14.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     14.37% # attempts to use FU when none available (Count)
