
---------- Begin Simulation Statistics ----------
simSeconds                                   3.121220                       # Number of seconds simulated (Second)
simTicks                                 3121219588000                       # Number of ticks simulated (Tick)
finalTick                                3121219588000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 231292.52                       # Real time elapsed on the host (Second)
hostTickRate                                 13494684                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   32141136                       # Number of bytes of host memory used (Byte)
simInsts                                   3934605926                       # Number of instructions simulated (Count)
simOps                                     3934696396                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    17011                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      17012                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       3121219589                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.793274                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.260599                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      6613793309                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   552754                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     5957739514                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               14592642                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           2679649624                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1296632776                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              190745                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          3121202247                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.908796                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.266708                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1408314383     45.12%     45.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 311678281      9.99%     55.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 328634692     10.53%     65.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 335679162     10.75%     76.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 237716195      7.62%     84.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 191900059      6.15%     90.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 148628160      4.76%     94.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  89590192      2.87%     97.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  69061123      2.21%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            3121202247                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                10948900     10.26%     10.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 900518      0.84%     11.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                  222481      0.21%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     11.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     11.31% # attempts to use FU when none available (Count)
