
---------- Begin Simulation Statistics ----------
simSeconds                                         30                       # Number of seconds simulated (Second)
simTicks                                 30000000000000                       # Number of ticks simulated (Tick)
finalTick                                30000000000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 159893.55                       # Real time elapsed on the host (Second)
hostTickRate                                187624831                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17900720                       # Number of bytes of host memory used (Byte)
simInsts                                  41842443238                       # Number of instructions simulated (Count)
simOps                                    41842449955                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   261689                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     261689                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                      30000000023                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.716975                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.394748                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     42057189997                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   454747                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    42385415282                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2045496                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            215194769                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          87598465                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               28976                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         29989551902                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.413339                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.965282                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0               16098429647     53.68%     53.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                3914079397     13.05%     66.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                2459364895      8.20%     74.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1955886254      6.52%     81.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                2371455083      7.91%     89.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                1716087457      5.72%     95.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 906141163      3.02%     98.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 363021310      1.21%     99.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 205086696      0.68%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           29989551902                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                40531883      3.97%      3.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  26045      0.00%      3.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     519      0.00%      3.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd              31344805      3.07%      7.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     1      0.00%      7.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt              47670980      4.67%     11.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult            269132073     26.37%     38.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc         231378078     22.67%     60.75% # attempts to use FU when none available (Count)
