
---------- Begin Simulation Statistics ----------
simSeconds                                   4.237407                       # Number of seconds simulated (Second)
simTicks                                 4237406649000                       # Number of ticks simulated (Tick)
finalTick                                4237406649000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 231292.37                       # Real time elapsed on the host (Second)
hostTickRate                                 18320564                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   21828260                       # Number of bytes of host memory used (Byte)
simInsts                                   7195551819                       # Number of instructions simulated (Count)
simOps                                     7195554394                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    31110                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      31110                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       4237406653                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.588893                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.698103                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     10021374105                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  4441867                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     8971220829                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               18959371                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           2830261562                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1749366452                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             1380543                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4236826903                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.117439                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.395699                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1741309081     41.10%     41.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 496785768     11.73%     52.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 433484237     10.23%     63.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 395360512      9.33%     72.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 379541972      8.96%     81.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 289538863      6.83%     88.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 212474652      5.01%     93.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 125979608      2.97%     96.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 162352210      3.83%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            4236826903                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                28795181     16.97%     16.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  33707      0.02%     16.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                 1293278      0.76%     17.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    70      0.00%     17.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                 14082      0.01%     17.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   108      0.00%     17.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              5636194      3.32%     21.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           1396828      0.82%     21.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                 40228      0.02%     21.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc              1449752      0.85%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    2      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     22.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     22.78% # attempts to use FU when none available (Count)
