
---------- Begin Simulation Statistics ----------
simSeconds                                   1.620345                       # Number of seconds simulated (Second)
simTicks                                 1620345151000                       # Number of ticks simulated (Tick)
finalTick                                1620345151000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 120104.84                       # Real time elapsed on the host (Second)
hostTickRate                                 13491089                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18626360                       # Number of bytes of host memory used (Byte)
simInsts                                   2432607400                       # Number of instructions simulated (Count)
simOps                                     2432608821                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    20254                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      20254                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1620345333                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.666094                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.501289                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3507809078                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  9513736                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3224532831                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               20735407                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           1084713992                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         581399225                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             8192059                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1620147362                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.990271                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.180495                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 649804557     40.11%     40.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 205640134     12.69%     52.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 193008892     11.91%     64.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 137637024      8.50%     73.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 159642373      9.85%     83.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 138236591      8.53%     91.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  83481354      5.15%     96.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  32248226      1.99%     98.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  20448211      1.26%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1620147362                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1725995      0.78%      0.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1133      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     356      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 53891      0.02%      0.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                 26362      0.01%      0.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                305398      0.14%      0.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              9791231      4.42%      5.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           5768146      2.61%      7.98% # attempts to use FU when none available (Count)
