
---------- Begin Simulation Statistics ----------
simSeconds                                   0.173464                       # Number of seconds simulated (Second)
simTicks                                 173463592000                       # Number of ticks simulated (Tick)
finalTick                                173463592000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7483.65                       # Real time elapsed on the host (Second)
hostTickRate                                 23179013                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17366924                       # Number of bytes of host memory used (Byte)
simInsts                                    377475643                       # Number of instructions simulated (Count)
simOps                                      377479639                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    50440                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      50441                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        173463684                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.459536                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.176108                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       459284055                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    53212                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      434985464                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2568194                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             81857627                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          47209089                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               31140                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           172912536                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.515639                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.495393                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  62876134     36.36%     36.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  18160763     10.50%     46.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  14446568      8.35%     55.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  12707352      7.35%     62.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13925414      8.05%     70.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  28384762     16.42%     87.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  10268728      5.94%     92.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   6570845      3.80%     96.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   5571970      3.22%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             172912536                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1018859      5.58%      5.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1394      0.01%      5.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   90507      0.50%      6.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    44      0.00%      6.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   574      0.00%      6.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   580      0.00%      6.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      6.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      6.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      6.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                66242      0.36%      6.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      6.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      6.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      6.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      6.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      6.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%      6.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%      6.45% # attempts to use FU when none available (Count)
