
---------- Begin Simulation Statistics ----------
simSeconds                                   0.759674                       # Number of seconds simulated (Second)
simTicks                                 759674473000                       # Number of ticks simulated (Tick)
finalTick                                759674473000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  31074.83                       # Real time elapsed on the host (Second)
hostTickRate                                 24446620                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17523160                       # Number of bytes of host memory used (Byte)
simInsts                                   1323207351                       # Number of instructions simulated (Count)
simOps                                     1323210173                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    42581                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      42581                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        759674481                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.574116                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.741808                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1685175962                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  2093738                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1562223275                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                9492092                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            364059526                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         228460615                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               33051                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           759224127                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.057658                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.243643                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 292113127     38.48%     38.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 108901409     14.34%     52.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  80417177     10.59%     63.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  75494426      9.94%     73.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  69479214      9.15%     82.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  57416982      7.56%     90.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  43378467      5.71%     95.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  15454934      2.04%     97.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  16568391      2.18%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             759224127                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3732813      4.06%      4.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   3210      0.00%      4.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    2406      0.00%      4.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  6772      0.01%      4.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                 37235      0.04%      4.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                437433      0.48%      4.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult             12585416     13.68%     18.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           5882811      6.39%     24.66% # attempts to use FU when none available (Count)
