
---------- Begin Simulation Statistics ----------
simSeconds                                   4.573575                       # Number of seconds simulated (Second)
simTicks                                 4573574786000                       # Number of ticks simulated (Tick)
finalTick                                4573574786000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 231292.43                       # Real time elapsed on the host (Second)
hostTickRate                                 19773992                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17047432                       # Number of bytes of host memory used (Byte)
simInsts                                   8619663912                       # Number of instructions simulated (Count)
simOps                                     8619664080                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    37267                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      37267                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       4573574821                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.530598                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.884667                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     12481425613                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1016                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    11108967041                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               52798051                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           3861762546                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        2460103538                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 183                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4573376110                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.429052                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.449088                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1628980973     35.62%     35.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 479151534     10.48%     46.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 472248472     10.33%     56.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 502770938     10.99%     67.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 448892137      9.82%     77.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 383972150      8.40%     85.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 314673444      6.88%     92.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 167955909      3.67%     96.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 174730553      3.82%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            4573376110                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                91447973     24.77%     24.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult               15453947      4.19%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      83      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     28.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     28.95% # attempts to use FU when none available (Count)
