
---------- Begin Simulation Statistics ----------
simSeconds                                   6.412199                       # Number of seconds simulated (Second)
simTicks                                 6412198930000                       # Number of ticks simulated (Tick)
finalTick                                6412198930000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  69615.27                       # Real time elapsed on the host (Second)
hostTickRate                                 92109080                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17050700                       # Number of bytes of host memory used (Byte)
simInsts                                   7804916385                       # Number of instructions simulated (Count)
simOps                                     7804919411                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   112115                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     112115                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       6412198936                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.821559                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.217198                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      8521652043                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                112589594                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     8308517435                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               12081036                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            829322225                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         589194707                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             1837723                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          6412158843                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.295744                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.700468                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2926422972     45.64%     45.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1519577496     23.70%     69.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 687553761     10.72%     80.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 443195978      6.91%     86.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 422388660      6.59%     93.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 210209340      3.28%     96.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 118897695      1.85%     98.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  41046555      0.64%     99.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  42866386      0.67%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            6412158843                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7261923      2.20%      2.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult               15038708      4.55%      6.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                  576745      0.17%      6.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               5082569      1.54%      8.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp               1276481      0.39%      8.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 14736      0.00%      8.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult            215031961     65.07%     73.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc          16088553      4.87%     78.79% # attempts to use FU when none available (Count)
