
---------- Begin Simulation Statistics ----------
simSeconds                                  11.575426                       # Number of seconds simulated (Second)
simTicks                                 11575426159000                       # Number of ticks simulated (Tick)
finalTick                                11575426159000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 132984.63                       # Real time elapsed on the host (Second)
hostTickRate                                 87043339                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17003392                       # Number of bytes of host memory used (Byte)
simInsts                                  31510968256                       # Number of instructions simulated (Count)
simOps                                    31510970532                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   236952                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     236952                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                      11575426200                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.367346                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.722230                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     31776365717                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   561222                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    31696890317                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2823485                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            265956406                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         191787109                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               74751                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         11570222243                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.739523                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.494139                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2921176582     25.25%     25.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1925804028     16.64%     41.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1429196413     12.35%     54.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1174950685     10.15%     64.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                1065897170      9.21%     73.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                1001857636      8.66%     82.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 821092573      7.10%     89.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 653568138      5.65%     95.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 576679018      4.98%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           11570222243                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                20198378      0.60%      0.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 114220      0.00%      0.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    3884      0.00%      0.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               5969399      0.18%      0.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp               2381465      0.07%      0.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt               7103824      0.21%      1.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult            879256526     26.20%     27.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc         949972595     28.30%     55.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv             809866979     24.13%     79.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc            114715415      3.42%     83.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt            233647474      6.96%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     90.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     90.07% # attempts to use FU when none available (Count)
