
---------- Begin Simulation Statistics ----------
simSeconds                                  18.576066                       # Number of seconds simulated (Second)
simTicks                                 18576066476000                       # Number of ticks simulated (Tick)
finalTick                                18576066476000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 231328.71                       # Real time elapsed on the host (Second)
hostTickRate                                 80301603                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18170436                       # Number of bytes of host memory used (Byte)
simInsts                                  46902717871                       # Number of instructions simulated (Count)
simOps                                    46902736359                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   202754                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     202754                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                     18576066523                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.792122                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.262432                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                    23589897151                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  470100                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                   23851136773                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               1908140                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           139338719                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         54653061                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              27568                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples        18555124974                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.285420                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.941233                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0              10833470881     58.39%     58.39% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1               2206540862     11.89%     70.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2               1280207091      6.90%     77.18% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3               1086271042      5.85%     83.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4               1298390951      7.00%     90.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                967855295      5.22%     95.24% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                516504908      2.78%     98.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                233572676      1.26%     99.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                132311268      0.71%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total          18555124974                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               29058752      4.65%      4.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                 15224      0.00%      4.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                    432      0.00%      4.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd             19072582      3.05%      7.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                   47      0.00%      7.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt             25973505      4.16%     11.86% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult           155808959     24.93%     36.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc        156599495     25.06%     61.85% # attempts to use FU when none available (Count)
