
---------- Begin Simulation Statistics ----------
simSeconds                                   0.180052                       # Number of seconds simulated (Second)
simTicks                                 180052493000                       # Number of ticks simulated (Tick)
finalTick                                180052493000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  32944.08                       # Real time elapsed on the host (Second)
hostTickRate                                  5465397                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17807296                       # Number of bytes of host memory used (Byte)
simInsts                                    754951072                       # Number of instructions simulated (Count)
simOps                                      754959064                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    22916                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      22916                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                       179147283                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.474593                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              2.107068                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      456805508                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  100972                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     432914207                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               2369883                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            79426948                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         46115909                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              78900                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          178336880                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.427508                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.479577                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 67797271     38.02%     38.02% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 18652397     10.46%     48.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 14759731      8.28%     56.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 12816897      7.19%     63.94% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 14567754      8.17%     72.11% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 27701404     15.53%     87.64% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 10162182      5.70%     93.34% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  6493423      3.64%     96.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  5385821      3.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            178336880                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1107995      6.18%      6.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                   768      0.00%      6.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                  82180      0.46%      6.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                  121      0.00%      6.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                   58      0.00%      6.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                  807      0.00%      6.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      6.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%      6.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%      6.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc               67372      0.38%      7.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%      7.03% # attempts to use FU when none available (Count)
