
---------- Begin Simulation Statistics ----------
simSeconds                                   7.245128                       # Number of seconds simulated (Second)
simTicks                                 7245127888000                       # Number of ticks simulated (Tick)
finalTick                                7245127888000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 231329.97                       # Real time elapsed on the host (Second)
hostTickRate                                 31319451                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17099560                       # Number of bytes of host memory used (Byte)
simInsts                                   8929743182                       # Number of instructions simulated (Count)
simOps                                     8929743350                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    38602                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      38602                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       7245127911                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.811348                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.232517                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     12061279235                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1013                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    10968070339                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               42196788                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           3131536896                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        2020109070                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 180                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          7244943676                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.513893                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.185242                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                4144977984     57.21%     57.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 588190003      8.12%     65.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 579151853      7.99%     73.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 476583098      6.58%     79.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 441026325      6.09%     85.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 472265331      6.52%     92.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 271026182      3.74%     96.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 133544911      1.84%     98.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 138177989      1.91%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            7244943676                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                72658431     14.87%     14.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult               12337584      2.53%     17.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      84      0.00%     17.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     17.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     17.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     17.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     17.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     17.40% # attempts to use FU when none available (Count)
