
---------- Begin Simulation Statistics ----------
simSeconds                                   0.034009                       # Number of seconds simulated (Second)
simTicks                                  34008827000                       # Number of ticks simulated (Tick)
finalTick                                 34008827000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    706.78                       # Real time elapsed on the host (Second)
hostTickRate                                 48117736                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16954652                       # Number of bytes of host memory used (Byte)
simInsts                                    240344620                       # Number of instructions simulated (Count)
simOps                                      240351704                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   340054                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     340064                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                        33921012                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      121333943                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   13252                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     122621802                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 22610                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             1171343                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           570390                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               1033                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           33792189                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.628703                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.402140                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  4447507     13.16%     13.16% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  2447979      7.24%     20.41% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  4834414     14.31%     34.71% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  5393608     15.96%     50.67% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  5289856     15.65%     66.33% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  3115552      9.22%     75.55% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3016083      8.93%     84.47% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  2487031      7.36%     91.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  2760159      8.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             33792189                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 340275      7.77%      7.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                  1611      0.04%      7.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                    621      0.01%      7.82% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd               241492      5.51%     13.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp               177807      4.06%     17.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt              1154403     26.35%     43.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult             1629626     37.19%     80.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                1      0.00%     80.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                 5271      0.12%     81.04% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                8980      0.20%     81.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     81.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     81.25% # attempts to use FU when none available (Count)
