
---------- Begin Simulation Statistics ----------
simSeconds                                   9.962809                       # Number of seconds simulated (Second)
simTicks                                 9962808603000                       # Number of ticks simulated (Tick)
finalTick                                9962808603000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 139081.54                       # Real time elapsed on the host (Second)
hostTickRate                                 71632859                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16929492                       # Number of bytes of host memory used (Byte)
simInsts                                  22794024464                       # Number of instructions simulated (Count)
simOps                                    22794444166                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   163890                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     163893                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                      9962447479                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                    12106795495                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded               188553969                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                   11927751281                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               9010793                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           898127381                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        670474507                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            3299809                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         9962398949                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.197277                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.664847                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0               5010258574     50.29%     50.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1               2057805920     20.66%     70.95% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2               1044504776     10.48%     81.43% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                696997894      7.00%     88.43% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                500032640      5.02%     93.45% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                383573357      3.85%     97.30% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                146279871      1.47%     98.77% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 89301780      0.90%     99.66% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 33644137      0.34%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           9962398949                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                5855219      1.18%      1.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult              15414621      3.11%      4.29% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                 570901      0.12%      4.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd              7636122      1.54%      5.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp              1209131      0.24%      6.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt               517998      0.10%      6.30% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult           323961469     65.39%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc         29447718      5.94%     77.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv              9334785      1.88%     79.51% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc            22499520      4.54%     84.06% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt             5931053      1.20%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%     85.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemRead              32104930      6.48%     91.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemWrite              5253018      1.06%     92.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemRead         32870084      6.63%     99.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemWrite         2834539      0.57%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statIssuedInstType_0::No_OpClass    184930545      1.55%      1.55% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntAlu   4378382490     36.71%     38.26% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntMult    110389936      0.93%     39.18% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntDiv      8144050      0.07%     39.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatAdd   1332362599     11.17%     50.42% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCmp    300688239      2.52%     52.94% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCvt    303134174      2.54%     55.48% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMult   1819701005     15.26%     70.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMultAcc    190043395      1.59%     72.33% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatDiv    159315813      1.34%     73.67% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMisc     97418232      0.82%     74.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatSqrt     91923640      0.77%     75.26% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAdd            0      0.00%     75.26% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAddAcc            0      0.00%     75.26% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAlu            0      0.00%     75.26% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCmp            0      0.00%     75.26% # Number of instructions issued per FU type, per thread (Count)
