
---------- Begin Simulation Statistics ----------
simSeconds                                  18.351531                       # Number of seconds simulated (Second)
simTicks                                 18351531279000                       # Number of ticks simulated (Tick)
finalTick                                18351531279000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 248893.55                       # Real time elapsed on the host (Second)
hostTickRate                                 73732449                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16923344                       # Number of bytes of host memory used (Byte)
simInsts                                  76760318084                       # Number of instructions simulated (Count)
simOps                                    76760320559                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   308406                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     308406                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                      18351533128                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     82181324196                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    12476                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    79671960546                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued              109560485                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           5421016074                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        4711483518                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2218                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         18345994849                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.342744                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.679252                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2841518275     15.49%     15.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1290977568      7.04%     22.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1026443710      5.59%     28.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 997290408      5.44%     33.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                2073856858     11.30%     44.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                2358695224     12.86%     57.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                3431157861     18.70%     76.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                1948065944     10.62%     87.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                2377989001     12.96%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           18345994849                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu              2561458092     45.49%     45.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult              167597987      2.98%     48.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                 3132548      0.06%     48.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     48.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     48.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     48.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 3453      0.00%     48.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            494092      0.01%     48.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                    46      0.00%     48.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                   64      0.00%     48.53% # attempts to use FU when none available (Count)
