
---------- Begin Simulation Statistics ----------
simSeconds                                  13.085471                       # Number of seconds simulated (Second)
simTicks                                 13085471052000                       # Number of ticks simulated (Tick)
finalTick                                13085471052000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 248892.41                       # Real time elapsed on the host (Second)
hostTickRate                                 52574809                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16977200                       # Number of bytes of host memory used (Byte)
simInsts                                  22143747683                       # Number of instructions simulated (Count)
simOps                                    22143752235                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    88969                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      88969                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                      13085472158                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     22608333816                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                 22204452                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    23766304768                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               13691055                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            486785987                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         323024975                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              364599                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         13055155779                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.820454                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.015589                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                4626036137     35.43%     35.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                2654107059     20.33%     55.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1932432898     14.80%     70.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1285299934      9.85%     80.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 995084009      7.62%     88.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 664714651      5.09%     93.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 379321725      2.91%     96.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 333682458      2.56%     98.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 184476908      1.41%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           13055155779                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                38340920      2.38%      2.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                2531682      0.16%      2.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                  217609      0.01%      2.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               2301599      0.14%      2.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                661191      0.04%      2.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                243840      0.02%      2.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult            431516038     26.73%     29.48% # attempts to use FU when none available (Count)
