
---------- Begin Simulation Statistics ----------
simSeconds                                   6.454211                       # Number of seconds simulated (Second)
simTicks                                 6454211479000                       # Number of ticks simulated (Tick)
finalTick                                6454211479000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  31108.90                       # Real time elapsed on the host (Second)
hostTickRate                                207471562                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16912260                       # Number of bytes of host memory used (Byte)
simInsts                                   7804916385                       # Number of instructions simulated (Count)
simOps                                     7804919411                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   250890                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     250890                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       6454211485                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      8398599274                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                112620459                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     8223687050                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                7039447                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            706300321                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         519334754                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             1868588                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          6454171610                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.274166                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.686796                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2981643582     46.20%     46.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1525087003     23.63%     69.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 687136783     10.65%     80.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 442081326      6.85%     87.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 413691602      6.41%     93.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 207274923      3.21%     96.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 115603343      1.79%     98.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  39902962      0.62%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  41750086      0.65%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            6454171610                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7042486      2.23%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult               14641844      4.63%      6.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                  572093      0.18%      7.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               4979450      1.57%      8.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp               1279415      0.40%      9.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 17603      0.01%      9.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult            213821156     67.59%     76.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc          15996745      5.06%     81.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv               7525445      2.38%     84.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc             15023863      4.75%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                 6405      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     88.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     88.79% # attempts to use FU when none available (Count)
