
---------- Begin Simulation Statistics ----------
simSeconds                                   3.040610                       # Number of seconds simulated (Second)
simTicks                                 3040609526000                       # Number of ticks simulated (Tick)
finalTick                                3040609526000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 248928.30                       # Real time elapsed on the host (Second)
hostTickRate                                 12214801                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17139996                       # Number of bytes of host memory used (Byte)
simInsts                                  10693482148                       # Number of instructions simulated (Count)
simOps                                    10693664387                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    42958                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      42959                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                      3040609622                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     5531107710                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 3227933                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    5582686621                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               7864796                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           189580614                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        133441587                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved             157522                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         3035792185                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.838955                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.052102                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0               1091860520     35.97%     35.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                606310186     19.97%     55.94% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                424040785     13.97%     69.91% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                294458739      9.70%     79.61% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                254295335      8.38%     87.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                140041623      4.61%     92.60% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                101531540      3.34%     95.94% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 67687703      2.23%     98.17% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 55565754      1.83%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           3035792185                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               17689729      3.28%      3.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                433810      0.08%      3.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                  35711      0.01%      3.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd              1276497      0.24%      3.60% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp               124890      0.02%      3.62% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt               152350      0.03%      3.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult           181199849     33.57%     37.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc         98646119     18.27%     55.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv            134575400     24.93%     80.42% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc            50326174      9.32%     89.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt             4394622      0.81%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%     90.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemRead              18724220      3.47%     94.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemWrite              9200971      1.70%     95.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemRead         21673648      4.02%     99.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemWrite         1352018      0.25%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statIssuedInstType_0::No_OpClass      2544435      0.05%      0.05% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntAlu   2422040739     43.38%     43.43% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntMult     20326903      0.36%     43.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntDiv        28001      0.00%     43.80% # Number of instructions issued per FU type, per thread (Count)
