
---------- Begin Simulation Statistics ----------
simSeconds                                   7.866593                       # Number of seconds simulated (Second)
simTicks                                 7866592535000                       # Number of ticks simulated (Tick)
finalTick                                7866592535000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 248927.41                       # Real time elapsed on the host (Second)
hostTickRate                                 31601953                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17042240                       # Number of bytes of host memory used (Byte)
simInsts                                  24285086677                       # Number of instructions simulated (Count)
simOps                                    24285114569                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    97559                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      97559                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                      7866592588                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                    12323856836                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  995213                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                   13364100795                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               8522330                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           181676077                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        121726374                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              15800                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         7864878078                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.699213                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.977592                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0               3004896621     38.21%     38.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1               1586899780     20.18%     58.38% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2               1186203547     15.08%     73.47% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                699719695      8.90%     82.36% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                545221866      6.93%     89.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                338584410      4.31%     93.60% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                179975242      2.29%     95.89% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                235041466      2.99%     98.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 88335451      1.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           7864878078                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               18438625      6.77%      6.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult               1767687      0.65%      7.42% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                 188002      0.07%      7.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd              2050830      0.75%      8.24% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp               259170      0.10%      8.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                  437      0.00%      8.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult            52648883     19.33%     27.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc         41341897     15.18%     42.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv             45910533     16.85%     59.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc            26650722      9.78%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     69.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     69.47% # attempts to use FU when none available (Count)
