
---------- Begin Simulation Statistics ----------
simSeconds                                   7.477716                       # Number of seconds simulated (Second)
simTicks                                 7477715672000                       # Number of ticks simulated (Tick)
finalTick                                7477715672000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 248915.33                       # Real time elapsed on the host (Second)
hostTickRate                                 30041202                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17352128                       # Number of bytes of host memory used (Byte)
simInsts                                  23168942424                       # Number of instructions simulated (Count)
simOps                                    23168999881                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    93080                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      93080                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                      7477715768                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                    12183490669                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 3176963                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                   12442048149                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              21801862                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           611410826                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        332526856                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              97078                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         7473861294                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.664742                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.157945                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0               3825423226     51.18%     51.18% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                685079135      9.17%     60.35% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                724806214      9.70%     70.05% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                637987108      8.54%     78.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                496771313      6.65%     85.23% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                562305626      7.52%     92.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                293001549      3.92%     96.68% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                151124398      2.02%     98.70% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 97362725      1.30%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           7473861294                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               52020715     14.64%     14.64% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult              35847810     10.09%     24.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                7620709      2.14%     26.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                 9577      0.00%     26.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                15596      0.00%     26.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                 6675      0.00%     26.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult            22086695      6.22%     33.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc         35231923      9.91%     43.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv             20738022      5.84%     48.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc             1464655      0.41%     49.26% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt            35505368      9.99%     59.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     59.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     59.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     59.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     59.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     59.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     59.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     59.25% # attempts to use FU when none available (Count)
