
---------- Begin Simulation Statistics ----------
simSeconds                                  10.193699                       # Number of seconds simulated (Second)
simTicks                                 10193698536000                       # Number of ticks simulated (Tick)
finalTick                                10193698536000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 248929.51                       # Real time elapsed on the host (Second)
hostTickRate                                 40950141                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16926012                       # Number of bytes of host memory used (Byte)
simInsts                                  69073642920                       # Number of instructions simulated (Count)
simOps                                    69073642936                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   277483                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     277483                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                     10193698570                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                    43054790392                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   11141                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                   40079274818                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued             154265706                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          8518110769                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       5334912117                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              11059                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples        10193576389                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.931817                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.778600                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0               2116035843     20.76%     20.76% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                783893325      7.69%     28.45% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                558872341      5.48%     33.93% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                717112354      7.03%     40.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4               1089568100     10.69%     51.65% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5               1231163812     12.08%     63.73% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6               1472239595     14.44%     78.18% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7               1118757433     10.98%     89.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8               1105933586     10.85%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total          10193576389                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu              397479296     29.47%     29.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult             108073763      8.01%     37.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                7810629      0.58%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    4      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     38.07% # attempts to use FU when none available (Count)
