
---------- Begin Simulation Statistics ----------
simSeconds                                   7.375570                       # Number of seconds simulated (Second)
simTicks                                 7375569904000                       # Number of ticks simulated (Tick)
finalTick                                7375569904000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 248929.47                       # Real time elapsed on the host (Second)
hostTickRate                                 29629155                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16930552                       # Number of bytes of host memory used (Byte)
simInsts                                  56679339186                       # Number of instructions simulated (Count)
simOps                                    56697450644                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   227692                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     227765                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                      7375580135                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                    30498524197                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                49918502                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                   29724040163                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued             194047031                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          2199717379                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       1438210918                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved           13631290                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         7375529214                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              4.030089                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.505548                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                994564156     13.48%     13.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                529108896      7.17%     20.66% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                655947645      8.89%     29.55% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                816645013     11.07%     40.62% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                888914854     12.05%     52.68% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5               1077576615     14.61%     67.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6               1099749408     14.91%     82.20% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                613119017      8.31%     90.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                699903610      9.49%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           7375529214                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu              292196541     21.54%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                 20590      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                   3888      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   8      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                  213      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     21.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     21.54% # attempts to use FU when none available (Count)
