
---------- Begin Simulation Statistics ----------
simSeconds                                   7.500691                       # Number of seconds simulated (Second)
simTicks                                 7500690643000                       # Number of ticks simulated (Tick)
finalTick                                7500690643000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 248929.38                       # Real time elapsed on the host (Second)
hostTickRate                                 30131802                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16954872                       # Number of bytes of host memory used (Byte)
simInsts                                  21755382032                       # Number of instructions simulated (Count)
simOps                                    21755411970                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    87396                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      87396                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                      7500690654                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                    10928614954                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  272598                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                   11410978197                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               2278502                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            52628935                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         40647131                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               4797                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         7496705942                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.522132                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.969890                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0               3383765123     45.14%     45.14% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1               1428719607     19.06%     64.19% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                874051928     11.66%     75.85% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                570093140      7.60%     83.46% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                471721255      6.29%     89.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                315952981      4.21%     93.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                216860185      2.89%     96.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                128269505      1.71%     98.57% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                107272218      1.43%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           7496705942                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                7001894      0.88%      0.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                 98595      0.01%      0.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                   3615      0.00%      0.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd              2439071      0.31%      1.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp               365834      0.05%      1.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt              3196263      0.40%      1.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult           181921552     22.99%     24.64% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc        255696186     32.31%     56.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv            186249696     23.53%     80.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc            11870984      1.50%     81.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt            46581691      5.89%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     87.87% # attempts to use FU when none available (Count)
