
---------- Begin Simulation Statistics ----------
simSeconds                                   1.613590                       # Number of seconds simulated (Second)
simTicks                                 1613590092000                       # Number of ticks simulated (Tick)
finalTick                                1613590092000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  26083.74                       # Real time elapsed on the host (Second)
hostTickRate                                 61861912                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17195032                       # Number of bytes of host memory used (Byte)
simInsts                                   6067792008                       # Number of instructions simulated (Count)
simOps                                     6067792272                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   232627                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     232627                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                      1565559879                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     4830678412                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     894                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    3992492034                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              10198802                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          1785785580                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       1330113556                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                321                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         1565432365                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.550409                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.500716                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                543664623     34.73%     34.73% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                141710590      9.05%     43.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                175038548     11.18%     54.96% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                167701906     10.71%     65.68% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                145395580      9.29%     74.96% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                115865017      7.40%     82.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                153338242      9.80%     92.16% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 65081099      4.16%     96.32% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 57636760      3.68%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           1565432365                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               99695117     71.69%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                     13      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     71.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     71.69% # attempts to use FU when none available (Count)
